tRNA_name	gtRNADB_ID	HGNC_symbol	Legacy_ID	Alignment
trna170_TrpCCA_6_-_26319330_26319401	tRNA-Trp-CCA-3-1	TRW-CCA3-1	chr6.trna170-TrpCCA	View fragment on tRNA
trna12_TrpCCA_17_+_19411494_19411565	tRNA-Trp-CCA-2-1	TRW-CCA2-1	chr17.trna12-TrpCCA	View fragment on tRNA
trna39_TrpCCA_17_-_8124187_8124258	tRNA-Trp-CCA-1-1	TRW-CCA1-1	chr17.trna39-TrpCCA	View fragment on tRNA
trna40_ValTAC_6_+_27258405_27258477	tRNA-Val-TAC-4-1	TRV-TAC4-1	chr6.trna40-ValTAC	View fragment on tRNA
trna6_ValTAC_10_-_5895674_5895746	tRNA-Val-TAC-3-1	TRV-TAC3-1	chr10.trna6-ValTAC	View fragment on tRNA
trna16_ValTAC_11_-_59318460_59318532	tRNA-Val-TAC-2-1	TRV-TAC2-1	chr11.trna16-ValTAC	View fragment on tRNA
trna4_ValTAC_X_-_18693029_18693101	tRNA-Val-TAC-1-2	TRV-TAC1-2	chrX.trna4-ValTAC	View fragment on tRNA
trna17_ValTAC_11_-_59318102_59318174	tRNA-Val-TAC-1-1	TRV-TAC1-1	chr11.trna17-ValTAC	View fragment on tRNA
trna32_ValCAC_6_+_27118022_27118094	tRNA-Val-CAC-9-1	TRV-CAC9-1	chr6.trna32-ValCAC	View fragment on tRNA
trna99_ValCAC_1_-_149294666_149294736	tRNA-Val-CAC-8-1	TRV-CAC8-1	chr1.trna99-ValCAC	View fragment on tRNA
trna133_ValCAC_6_-_27696327_27696399	tRNA-Val-CAC-7-1	TRV-CAC7-1	chr6.trna133-ValCAC	View fragment on tRNA
trna157_ValCAC_6_-_27173867_27173939	tRNA-Val-CAC-6-1	TRV-CAC6-1	chr6.trna157-ValCAC	View fragment on tRNA
trna90_ValCAC_1_-_149684088_149684161	tRNA-Val-CAC-5-1	TRV-CAC5-1	chr1.trna90-ValCAC	View fragment on tRNA
trna98_ValCAC_1_-_149298555_149298627	tRNA-Val-CAC-4-1	TRV-CAC4-1	chr1.trna98-ValCAC	View fragment on tRNA
trna13_ValCAC_19_-_4724647_4724719	tRNA-Val-CAC-3-1	TRV-CAC3-1	chr19.trna13-ValCAC	View fragment on tRNA
trna152_ValCAC_6_-_27248049_27248121	tRNA-Val-CAC-2-1	TRV-CAC2-1	chr6.trna152-ValCAC	View fragment on tRNA
trna3_ValCAC_20_+_43951001_43951073	tRNA-Val-CAC-14-1	TRV-CAC14-1	chr20.trna3-ValCAC	View fragment on tRNA
trna1_ValCAC_1_+_17052061_17052133	tRNA-Val-CAC-13-1	TRV-CAC13-1	chr1.trna1-ValCAC	View fragment on tRNA
trna58_ValCAC_6_+_27650488_27650561	tRNA-Val-CAC-12-1	TRV-CAC12-1	chr6.trna58-ValCAC	View fragment on tRNA
trna3_ValCAC_1_+_17186693_17186765	tRNA-Val-CAC-11-2	TRV-CAC11-2	chr1.trna3-ValCAC	View fragment on tRNA
trna132_ValCAC_1_-_16874160_16874232	tRNA-Val-CAC-11-1	TRV-CAC11-1	chr1.trna132-ValCAC	View fragment on tRNA
trna130_ValCAC_1_-_17006501_17006573	tRNA-Val-CAC-10-1	TRV-CAC10-1	chr1.trna130-ValCAC	View fragment on tRNA
trna9_ValCAC_6_+_26538282_26538354	tRNA-Val-CAC-1-6	TRV-CAC1-6	chr6.trna9-ValCAC	View fragment on tRNA
trna10_ValCAC_5_-_180649395_180649467	tRNA-Val-CAC-1-5	TRV-CAC1-5	chr5.trna10-ValCAC	View fragment on tRNA
trna6_ValCAC_5_+_180600650_180600722	tRNA-Val-CAC-1-4	TRV-CAC1-4	chr5.trna6-ValCAC	View fragment on tRNA
trna18_ValCAC_5_-_180529253_180529325	tRNA-Val-CAC-1-3	TRV-CAC1-3	chr5.trna18-ValCAC	View fragment on tRNA
trna2_ValCAC_5_+_180524070_180524142	tRNA-Val-CAC-1-2	TRV-CAC1-2	chr5.trna2-ValCAC	View fragment on tRNA
trna85_ValCAC_1_-_161369490_161369562	tRNA-Val-CAC-1-1	TRV-CAC1-1	chr1.trna85-ValCAC	View fragment on tRNA
trna63_ValAAC_1_-_180184276_180184348	tRNA-Val-AAC-7-1	TRV-AAC7-1	chr1.trna63-ValAAC	View fragment on tRNA
trna115_ValAAC_6_-_28703206_28703277	tRNA-Val-AAC-6-1	TRV-AAC6-1	chr6.trna115-ValAAC	View fragment on tRNA
trna37_ValAAC_6_+_27203288_27203360	tRNA-Val-AAC-5-1	TRV-AAC5-1	chr6.trna37-ValAAC	View fragment on tRNA
trna136_ValAAC_6_-_27648885_27648957	tRNA-Val-AAC-4-1	TRV-AAC4-1	chr6.trna136-ValAAC	View fragment on tRNA
trna139_ValAAC_6_-_27618707_27618779	tRNA-Val-AAC-3-1	TRV-AAC3-1	chr6.trna139-ValAAC	View fragment on tRNA
trna15_ValAAC_5_-_180615416_180615488	tRNA-Val-AAC-2-1	TRV-AAC2-1	chr5.trna15-ValAAC	View fragment on tRNA
trna132_ValAAC_6_-_27721179_27721251	tRNA-Val-AAC-1-5	TRV-AAC1-5	chr6.trna132-ValAAC	View fragment on tRNA
trna12_ValAAC_5_-_180645270_180645342	tRNA-Val-AAC-1-4	TRV-AAC1-4	chr5.trna12-ValAAC	View fragment on tRNA
trna5_ValAAC_5_+_180596610_180596682	tRNA-Val-AAC-1-3	TRV-AAC1-3	chr5.trna5-ValAAC	View fragment on tRNA
trna4_ValAAC_5_+_180591154_180591226	tRNA-Val-AAC-1-2	TRV-AAC1-2	chr5.trna4-ValAAC	View fragment on tRNA
trna2_ValAAC_3_+_169490018_169490090	tRNA-Val-AAC-1-1	TRV-AAC1-1	chr3.trna2-ValAAC	View fragment on tRNA
trna13_ThrTGT_5_-_180618687_180618758	tRNA-Thr-TGT-6-1	TRT-TGT6-1	chr5.trna13-ThrTGT	View fragment on tRNA
trna4_ThrTGT_14_+_21149849_21149921	tRNA-Thr-TGT-5-1	TRT-TGT5-1	chr14.trna4-ThrTGT	View fragment on tRNA
trna20_ThrTGT_14_-_21099319_21099391	tRNA-Thr-TGT-4-1	TRT-TGT4-1	chr14.trna20-ThrTGT	View fragment on tRNA
trna21_ThrTGT_14_-_21081949_21082021	tRNA-Thr-TGT-3-1	TRT-TGT3-1	chr14.trna21-ThrTGT	View fragment on tRNA
trna56_ThrTGT_1_+_222638347_222638419	tRNA-Thr-TGT-2-1	TRT-TGT2-1	chr1.trna56-ThrTGT	View fragment on tRNA
trna127_ThrTGT_6_-_28442329_28442402	tRNA-Thr-TGT-1-1	TRT-TGT1-1	chr6.trna127-ThrTGT	View fragment on tRNA
trna151_ThrCGT_6_-_27271568_27271639	tRNA-Thr-CGT-6-1	TRT-CGT6-1	chr6.trna151-ThrCGT	View fragment on tRNA
trna54_ThrCGT_6_+_27586135_27586208	tRNA-Thr-CGT-5-1	TRT-CGT5-1	chr6.trna54-ThrCGT	View fragment on tRNA
trna14_ThrCGT_17_+_29877093_29877164	tRNA-Thr-CGT-4-1	TRT-CGT4-1	chr17.trna14-ThrCGT	View fragment on tRNA
trna121_ThrCGT_6_-_28615984_28616057	tRNA-Thr-CGT-3-1	TRT-CGT3-1	chr6.trna121-ThrCGT	View fragment on tRNA
trna15_ThrCGT_16_+_14379750_14379821	tRNA-Thr-CGT-2-1	TRT-CGT2-1	chr16.trna15-ThrCGT	View fragment on tRNA
trna125_ThrCGT_6_-_28456770_28456843	tRNA-Thr-CGT-1-1	TRT-CGT1-1	chr6.trna125-ThrCGT	View fragment on tRNA
trna24_ThrAGT_17_-_62526918_62526991	tRNA-Thr-AGT-7-1	TRT-AGT7-1	chr17.trna24-ThrAGT	View fragment on tRNA
trna34_ThrAGT_6_+_27130050_27130123	tRNA-Thr-AGT-6-1	TRT-AGT6-1	chr6.trna34-ThrAGT	View fragment on tRNA
trna40_ThrAGT_17_-_8042770_8042843	tRNA-Thr-AGT-5-1	TRT-AGT5-1	chr17.trna40-ThrAGT	View fragment on tRNA
trna60_ThrAGT_6_+_27694473_27694546	tRNA-Thr-AGT-4-1	TRT-AGT4-1	chr6.trna60-ThrAGT	View fragment on tRNA
trna69_ThrAGT_6_+_28693795_28693868	tRNA-Thr-AGT-3-1	TRT-AGT3-1	chr6.trna69-ThrAGT	View fragment on tRNA
trna135_ThrAGT_6_-_27652474_27652547	tRNA-Thr-AGT-2-2	TRT-AGT2-2	chr6.trna135-ThrAGT	View fragment on tRNA
trna167_ThrAGT_6_-_26533145_26533218	tRNA-Thr-AGT-2-1	TRT-AGT2-1	chr6.trna167-ThrAGT	View fragment on tRNA
trna4_ThrAGT_19_+_33667963_33668036	tRNA-Thr-AGT-1-3	TRT-AGT1-3	chr19.trna4-ThrAGT	View fragment on tRNA
trna36_ThrAGT_17_-_8129553_8129626	tRNA-Thr-AGT-1-2	TRT-AGT1-2	chr17.trna36-ThrAGT	View fragment on tRNA
trna8_ThrAGT_17_+_8090478_8090551	tRNA-Thr-AGT-1-1	TRT-AGT1-1	chr17.trna8-ThrAGT	View fragment on tRNA
trna148_SerTGA_6_-_27473607_27473688	tRNA-Ser-TGA-4-1	TRS-TGA4-1	chr6.trna148-SerTGA	View fragment on tRNA
trna172_SerTGA_6_-_26312824_26312905	tRNA-Ser-TGA-3-1	TRS-TGA3-1	chr6.trna172-SerTGA	View fragment on tRNA
trna51_SerTGA_6_+_27513468_27513549	tRNA-Ser-TGA-2-1	TRS-TGA2-1	chr6.trna51-SerTGA	View fragment on tRNA
trna2_SerTGA_10_+_69524261_69524342	tRNA-Ser-TGA-1-1	TRS-TGA1-1	chr10.trna2-SerTGA	View fragment on tRNA
trna175_SerGCT_6_-_26305718_26305801	tRNA-Ser-GCT-6-1	TRS-GCT6-1	chr6.trna175-SerGCT	View fragment on tRNA
trna62_SerGCT_6_+_28180815_28180896	tRNA-Ser-GCT-5-1	TRS-GCT5-1	chr6.trna62-SerGCT	View fragment on tRNA
trna7_SerGCT_17_+_8090184_8090265	tRNA-Ser-GCT-4-3	TRS-GCT4-3	chr17.trna7-SerGCT	View fragment on tRNA
trna10_SerGCT_15_-_40886023_40886104	tRNA-Ser-GCT-4-2	TRS-GCT4-2	chr15.trna10-SerGCT	View fragment on tRNA
trna123_SerGCT_6_-_28565117_28565198	tRNA-Ser-GCT-4-1	TRS-GCT4-1	chr6.trna123-SerGCT	View fragment on tRNA
trna8_SerGCT_11_+_66115591_66115672	tRNA-Ser-GCT-3-1	TRS-GCT3-1	chr11.trna8-SerGCT	View fragment on tRNA
trna43_SerGCT_6_+_27265775_27265856	tRNA-Ser-GCT-2-1	TRS-GCT2-1	chr6.trna43-SerGCT	View fragment on tRNA
trna31_SerGCT_6_+_27065085_27065166	tRNA-Ser-GCT-1-1	TRS-GCT1-1	chr6.trna31-SerGCT	View fragment on tRNA
trna2_SerCGA_12_+_56584148_56584229	tRNA-Ser-CGA-4-1	TRS-CGA4-1	chr12.trna2-SerCGA	View fragment on tRNA
trna137_SerCGA_6_-_27640229_27640310	tRNA-Ser-CGA-3-1	TRS-CGA3-1	chr6.trna137-SerCGA	View fragment on tRNA
trna35_SerCGA_6_+_27177628_27177709	tRNA-Ser-CGA-2-1	TRS-CGA2-1	chr6.trna35-SerCGA	View fragment on tRNA
trna41_SerCGA_17_-_8042199_8042280	tRNA-Ser-CGA-1-1	TRS-CGA1-1	chr17.trna41-SerCGA	View fragment on tRNA
trna2_SerAGA_20_+_30088703_30088774	tRNA-Ser-AGA-7-1	TRS-AGA7-1	chr20.trna2-SerAGA	View fragment on tRNA
trna10_SerAGA_11_+_109036039_109036120	tRNA-Ser-AGA-6-1	TRS-AGA6-1	chr11.trna10-SerAGA	View fragment on tRNA
trna12_SerAGA_7_+_149305467_149305538	tRNA-Ser-AGA-5-1	TRS-AGA5-1	chr7.trna12-SerAGA	View fragment on tRNA
trna145_SerAGA_6_-_27521192_27521273	tRNA-Ser-AGA-4-1	TRS-AGA4-1	chr6.trna145-SerAGA	View fragment on tRNA
trna50_SerAGA_6_+_27499987_27500068	tRNA-Ser-AGA-3-1	TRS-AGA3-1	chr6.trna50-SerAGA	View fragment on tRNA
trna35_SerAGA_17_-_8129928_8130009	tRNA-Ser-AGA-2-6	TRS-AGA2-6	chr17.trna35-SerAGA	View fragment on tRNA
trna11_SerAGA_8_-_96281885_96281966	tRNA-Ser-AGA-2-5	TRS-AGA2-5	chr8.trna11-SerAGA	View fragment on tRNA
trna47_SerAGA_6_+_27470818_27470899	tRNA-Ser-AGA-2-4	TRS-AGA2-4	chr6.trna47-SerAGA	View fragment on tRNA
trna46_SerAGA_6_+_27463593_27463674	tRNA-Ser-AGA-2-3	TRS-AGA2-3	chr6.trna46-SerAGA	View fragment on tRNA
trna44_SerAGA_6_+_27446591_27446672	tRNA-Ser-AGA-2-2	TRS-AGA2-2	chr6.trna44-SerAGA	View fragment on tRNA
trna5_SerAGA_6_+_26327817_26327898	tRNA-Ser-AGA-2-1	TRS-AGA2-1	chr6.trna5-SerAGA	View fragment on tRNA
trna147_SerAGA_6_-_27509554_27509635	tRNA-Ser-AGA-1-1	TRS-AGA1-1	chr6.trna147-SerAGA	View fragment on tRNA
trna41_SerACT_6_+_27261671_27261744	tRNA-Ser-ACT-1-1	TRS-ACT1-1	chr6.trna41-SerACT	View fragment on tRNA
trna52_ArgTCT_6_+_27529963_27530049	tRNA-Arg-TCT-5-1	TRR-TCT5-1	chr6.trna52-ArgTCT	View fragment on tRNA
trna86_ArgTCT_1_-_159111401_159111474	tRNA-Arg-TCT-4-1	TRR-TCT4-1	chr1.trna86-ArgTCT	View fragment on tRNA
trna3_ArgTCT_11_+_59318767_59318852	tRNA-Arg-TCT-3-2	TRR-TCT3-2	chr11.trna3-ArgTCT	View fragment on tRNA
trna4_ArgTCT_9_-_131102355_131102445	tRNA-Arg-TCT-3-1	TRR-TCT3-1	chr9.trna4-ArgTCT	View fragment on tRNA
trna4_ArgTCT_17_+_8024243_8024330	tRNA-Arg-TCT-2-1	TRR-TCT2-1	chr17.trna4-ArgTCT	View fragment on tRNA
trna9_ArgTCT_1_+_94313129_94313213	tRNA-Arg-TCT-1-1	TRR-TCT1-1	chr1.trna9-ArgTCT	View fragment on tRNA
trna2_ArgTCG_9_+_112960803_112960875	tRNA-Arg-TCG-6-1	TRR-TCG6-1	chr9.trna2-ArgTCG	View fragment on tRNA
trna124_ArgTCG_6_-_28510891_28510963	tRNA-Arg-TCG-5-1	TRR-TCG5-1	chr6.trna124-ArgTCG	View fragment on tRNA
trna3_ArgTCG_6_+_26299905_26299977	tRNA-Arg-TCG-4-1	TRR-TCG4-1	chr6.trna3-ArgTCG	View fragment on tRNA
trna19_ArgTCG_17_+_73031208_73031280	tRNA-Arg-TCG-3-1	TRR-TCG3-1	chr17.trna19-ArgTCG	View fragment on tRNA
trna4_ArgTCG_6_+_26323046_26323118	tRNA-Arg-TCG-2-1	TRR-TCG2-1	chr6.trna4-ArgTCG	View fragment on tRNA
trna4_ArgTCG_15_+_89878304_89878376	tRNA-Arg-TCG-1-1	TRR-TCG1-1	chr15.trna4-ArgTCG	View fragment on tRNA
trna7_ArgCCT_11_+_63661767_63661835	tRNA-Arg-CCT-9-1	TRR-CCT9-1	chr11.trna7-ArgCCT	View fragment on tRNA
trna88_ArgCCT_1_-_149728271_149728341	tRNA-Arg-CCT-8-1	TRR-CCT8-1	chr1.trna88-ArgCCT	View fragment on tRNA
trna96_ArgCCT_1_-_149343081_149343151	tRNA-Arg-CCT-7-1	TRR-CCT7-1	chr1.trna96-ArgCCT	View fragment on tRNA
trna18_ArgCCT_1_+_147483291_147483361	tRNA-Arg-CCT-6-2	TRR-CCT6-2	chr1.trna18-ArgCCT	View fragment on tRNA
trna14_ArgCCT_1_+_145941579_145941649	tRNA-Arg-CCT-6-1	TRR-CCT6-1	chr1.trna14-ArgCCT	View fragment on tRNA
trna12_ArgCCT_16_+_3243918_3243990	tRNA-Arg-CCT-5-1	TRR-CCT5-1	chr16.trna12-ArgCCT	View fragment on tRNA
trna3_ArgCCT_7_+_139025446_139025518	tRNA-Arg-CCT-4-1	TRR-CCT4-1	chr7.trna3-ArgCCT	View fragment on tRNA
trna2_ArgCCT_16_+_3202901_3202973	tRNA-Arg-CCT-3-1	TRR-CCT3-1	chr16.trna2-ArgCCT	View fragment on tRNA
trna21_ArgCCT_17_-_73030526_73030598	tRNA-Arg-CCT-2-1	TRR-CCT2-1	chr17.trna21-ArgCCT	View fragment on tRNA
trna18_ArgCCT_17_+_73030001_73030073	tRNA-Arg-CCT-1-1	TRR-CCT1-1	chr17.trna18-ArgCCT	View fragment on tRNA
trna23_ArgCCG_17_-_66016013_66016085	tRNA-Arg-CCG-2-1	TRR-CCG2-1	chr17.trna23-ArgCCG	View fragment on tRNA
trna1_ArgCCG_16_+_3200675_3200747	tRNA-Arg-CCG-1-3	TRR-CCG1-3	chr16.trna1-ArgCCG	View fragment on tRNA
trna73_ArgCCG_6_+_28849165_28849237	tRNA-Arg-CCG-1-2	TRR-CCG1-2	chr6.trna73-ArgCCG	View fragment on tRNA
trna114_ArgCCG_6_-_28710729_28710801	tRNA-Arg-CCG-1-1	TRR-CCG1-1	chr6.trna114-ArgCCG	View fragment on tRNA
trna138_ArgACG_6_-_27638344_27638416	tRNA-Arg-ACG-2-4	TRR-ACG2-4	chr6.trna138-ArgACG	View fragment on tRNA
trna36_ArgACG_6_+_27182952_27183024	tRNA-Arg-ACG-2-3	TRR-ACG2-3	chr6.trna36-ArgACG	View fragment on tRNA
trna156_ArgACG_6_-_27181623_27181695	tRNA-Arg-ACG-2-2	TRR-ACG2-2	chr6.trna156-ArgACG	View fragment on tRNA
trna11_ArgACG_3_-_45730491_45730563	tRNA-Arg-ACG-2-1	TRR-ACG2-1	chr3.trna11-ArgACG	View fragment on tRNA
trna7_ArgACG_14_+_23398910_23398982	tRNA-Arg-ACG-1-3	TRR-ACG1-3	chr14.trna7-ArgACG	View fragment on tRNA
trna8_ArgACG_6_+_26537726_26537798	tRNA-Arg-ACG-1-2	TRR-ACG1-2	chr6.trna8-ArgACG	View fragment on tRNA
trna6_ArgACG_6_+_26328368_26328440	tRNA-Arg-ACG-1-1	TRR-ACG1-1	chr6.trna6-ArgACG	View fragment on tRNA
trna15_GlnTTG_12_-_97490691_97490764	tRNA-Gln-TTG-9-1	TRQ-TTG9-1	chr12.trna15-GlnTTG	View fragment on tRNA
trna12_GlnTTG_19_-_9150356_9150428	tRNA-Gln-TTG-8-1	TRQ-TTG8-1	chr19.trna12-GlnTTG	View fragment on tRNA
trna23_GlnTTG_5_-_77318776_77318848	tRNA-Gln-TTG-7-1	TRQ-TTG7-1	chr5.trna23-GlnTTG	View fragment on tRNA
trna4_GlnTTG_4_-_40908743_40908815	tRNA-Gln-TTG-6-1	TRQ-TTG6-1	chr4.trna4-GlnTTG	View fragment on tRNA
trna28_GlnTTG_2_-_45937441_45937513	tRNA-Gln-TTG-5-1	TRQ-TTG5-1	chr2.trna28-GlnTTG	View fragment on tRNA
trna84_GlnTTG_6_+_145503859_145503930	tRNA-Gln-TTG-4-1	TRQ-TTG4-1	chr6.trna84-GlnTTG	View fragment on tRNA
trna130_GlnTTG_6_-_27763640_27763711	tRNA-Gln-TTG-3-3	TRQ-TTG3-3	chr6.trna130-GlnTTG	View fragment on tRNA
trna173_GlnTTG_6_-_26311975_26312046	tRNA-Gln-TTG-3-2	TRQ-TTG3-2	chr6.trna173-GlnTTG	View fragment on tRNA
trna174_GlnTTG_6_-_26311424_26311495	tRNA-Gln-TTG-3-1	TRQ-TTG3-1	chr6.trna174-GlnTTG	View fragment on tRNA
trna64_GlnTTG_6_+_28557156_28557227	tRNA-Gln-TTG-2-1	TRQ-TTG2-1	chr6.trna64-GlnTTG	View fragment on tRNA
trna79_GlnTTG_6_+_37287995_37288067	tRNA-Gln-TTG-10-1	TRQ-TTG10-1	chr6.trna79-GlnTTG	View fragment on tRNA
trna16_GlnTTG_17_+_47269890_47269961	tRNA-Gln-TTG-1-1	TRQ-TTG1-1	chr17.trna16-GlnTTG	View fragment on tRNA
trna23_GlnCTG_1_+_147825689_147825760	tRNA-Gln-CTG-9-1	TRQ-CTG9-1	chr1.trna23-GlnCTG	View fragment on tRNA
trna120_GlnCTG_1_-_145379320_145379391	tRNA-Gln-CTG-8-2	TRQ-CTG8-2	chr1.trna120-GlnCTG	View fragment on tRNA
trna121_GlnCTG_1_-_144839436_144839507	tRNA-Gln-CTG-8-1	TRQ-CTG8-1	chr1.trna121-GlnCTG	View fragment on tRNA
trna22_GlnCTG_1_+_147800937_147801008	tRNA-Gln-CTG-7-1	TRQ-CTG7-1	chr1.trna22-GlnCTG	View fragment on tRNA
trna131_GlnCTG_6_-_27759135_27759206	tRNA-Gln-CTG-6-1	TRQ-CTG6-1	chr6.trna131-GlnCTG	View fragment on tRNA
trna42_GlnCTG_6_+_27263212_27263283	tRNA-Gln-CTG-5-1	TRQ-CTG5-1	chr6.trna42-GlnCTG	View fragment on tRNA
trna28_GlnCTG_1_+_149186125_149186196	tRNA-Gln-CTG-4-2	TRQ-CTG4-2	chr1.trna28-GlnCTG	View fragment on tRNA
trna112_GlnCTG_1_-_147737382_147737453	tRNA-Gln-CTG-4-1	TRQ-CTG4-1	chr1.trna112-GlnCTG	View fragment on tRNA
trna19_GlnCTG_1_+_147505038_147505109	tRNA-Gln-CTG-3-2	TRQ-CTG3-2	chr1.trna19-GlnCTG	View fragment on tRNA
trna15_GlnCTG_1_+_145963304_145963375	tRNA-Gln-CTG-3-1	TRQ-CTG3-1	chr1.trna15-GlnCTG	View fragment on tRNA
trna146_GlnCTG_6_-_27515531_27515602	tRNA-Gln-CTG-2-1	TRQ-CTG2-1	chr6.trna146-GlnCTG	View fragment on tRNA
trna21_GlnCTG_16_+_71724890_71724963	tRNA-Gln-CTG-18-1	TRQ-CTG18-1	chr16.trna21-GlnCTG	View fragment on tRNA
trna1_GlnCTG_20_+_17855142_17855219	tRNA-Gln-CTG-17-1	TRQ-CTG17-1	chr20.trna1-GlnCTG	View fragment on tRNA
trna15_GlnCTG_2_+_219491132_219491207	tRNA-Gln-CTG-16-1	TRQ-CTG16-1	chr2.trna15-GlnCTG	View fragment on tRNA
trna5_GlnCTG_9_-_126655522_126655594	tRNA-Gln-CTG-15-1	TRQ-CTG15-1	chr9.trna5-GlnCTG	View fragment on tRNA
trna129_GlnCTG_1_-_17180900_17180971	tRNA-Gln-CTG-14-1	TRQ-CTG14-1	chr1.trna129-GlnCTG	View fragment on tRNA
trna21_GlnCTG_5_-_151248074_151248145	tRNA-Gln-CTG-13-1	TRQ-CTG13-1	chr5.trna21-GlnCTG	View fragment on tRNA
